code,name,listing_date,shares,listing_board
CMNP,Citra Marga Nusaphala Persada ,1995-01-10T00:00:00,5434328997,Utama
CMNT,Cemindo Gemilang Tbk.,2021-09-08T00:00:00,17125504000,Utama
CMPP,AirAsia Indonesia Tbk.,1994-12-08T00:00:00,10685124441,Pengembangan
CMRY,Cisarua Mountain Dairy Tbk.,2021-12-06T00:00:00,7934683000,Utama
CNKO,Exploitasi Energi Indonesia Tb,2001-11-20T00:00:00,8956361206,Utama
CNTX,Century Textile Industry Tbk.,1979-05-22T00:00:00,70000000,Pengembangan
COCO,Wahana Interfood Nusantara Tbk,2019-03-20T00:00:00,889863981,Pengembangan
COWL,Cowell Development Tbk.,2007-12-19T00:00:00,4871214021,PENGEMBANGAN
CPIN,Charoen Pokphand Indonesia Tbk,1991-03-18T00:00:00,16398000000,UTAMA
CPRI,Capri Nusa Satu Properti Tbk.,2019-04-11T00:00:00,2433379958,Pengembangan
CPRO,Central Proteina Prima Tbk.,2006-11-28T00:00:00,59572382787,Utama
CSAP,Catur Sentosa Adiprana Tbk.,2007-12-12T00:00:00,4458352920,Utama
CSIS,Cahayasakti Investindo Sukses ,2017-05-10T00:00:00,1307000000,Pengembangan
CSMI,Cipta Selera Murni Tbk.,2020-04-09T00:00:00,816061500,Pengembangan
CSRA,Cisadane Sawit Raya Tbk.,2020-01-09T00:00:00,2050000000,Utama
CTBN,Citra Tubindo Tbk.,1989-11-28T00:00:00,800371500,Utama
CTRA,Ciputra Development Tbk.,1994-03-28T00:00:00,18560303397,Utama
CTTH,Citatah Tbk.,1996-07-03T00:00:00,1230839821,Pengembangan
DADA,Diamond Citra Propertindo Tbk.,2020-02-14T00:00:00,7178146908,Pengembangan
DART,Duta Anggada Realty Tbk.,1990-05-08T00:00:00,3141390962,Utama
DAYA,Duta Intidaya Tbk.,2016-06-28T00:00:00,2420547025,Pengembangan
DCII,DCI Indonesia Tbk.,2021-01-06T00:00:00,2383745900,Pengembangan
DEAL,Dewata Freightinternational Tb,2018-11-11T00:00:00,1146170959,Pengembangan
DEFI,Danasupra Erapacific Tbk.,2001-07-06T00:00:00,687266666,Pengembangan
DEPO,Caturkarda Depo Bangunan Tbk.,2021-11-25T00:00:00,6790000000,Utama
DEWA,Darma Henwa Tbk,2007-09-26T00:00:00,21853733792,Utama
DFAM,Dafam Property Indonesia Tbk.,2018-04-27T00:00:00,1899852850,Pengembangan
DGIK,Nusa Konstruksi Enjiniring Tbk,2007-12-19T00:00:00,5541165000,Utama
DGNS,Diagnos Laboratorium Utama Tbk,2021-01-15T00:00:00,1250000000,Pengembangan
DIGI,Arkadia Digital Media Tbk.,2018-09-18T00:00:00,1625000000,Pengembangan
DILD,Intiland Development Tbk.,1991-09-04T00:00:00,10365854185,Utama
